506.931320	0.588	61.781250	17029	50
1233.550661	1.135	240.687500	20000	100
1627.948320	1.935	536.781250	20000	150
1709.426129	3.276	950.062500	20000	200
15405.070423	0.568	1480.531250	20000	250
16010.266836	0.787	2128.187500	20000	300
16538.167792	1.037	2893.031250	20000	350
16374.327485	1.368	3775.062500	20000	400
15152.367718	1.871	4774.281250	20000	450
15164.679376	2.308	5890.687500	20000	500
15065.841338	2.811	7124.281250	20000	550
14858.514151	3.392	8475.062500	20000	600
14739.616247	4.013	9943.031250	20000	650
14916.303544	4.599	11528.187500	20000	700
14897.858494	5.286	13230.531250	20000	750
14145.892011	6.334	15050.062500	20000	800
13184.522730	8.601	19040.687500	20000	900
11259.456329	12.434	23500.062500	20000	1000
9844.835241	17.207	28428.187500	20000	1100
9345.451511	21.572	33825.062500	20000	1200
8763.939697	26.997	39690.687500	20000	1300
5819.849414	47.149	46025.062500	20000	1400
8076.925128	39.000	52828.187500	20000	1500
7891.146242	45.418	60100.062500	20000	1600
7777.629803	52.021	67840.687500	20000	1700
7633.409286	59.423	76050.062500	20000	1800
7476.221949	67.601	84728.187500	20000	1900
7327.446254	76.425	93875.062500	20000	2000
7324.973958	84.287	103490.687500	20000	2100
7325.247887	92.502	113575.062500	20000	2200
7231.645819	102.411	124128.187500	20000	2300
7158.329013	112.652	135150.062500	20000	2400
