887.461166	0.432	61.781250	17052	50
3037.597030	0.593	240.687500	20000	100
5288.691564	0.766	536.781250	20000	150
8057.385855	0.894	950.062500	20000	200
9641.823792	1.167	1480.531250	20000	250
10559.989570	1.534	2128.187500	20000	300
11256.358160	1.959	2893.031250	20000	350
12885.941834	2.235	3775.062500	20000	400
13643.199002	2.672	4774.281250	20000	450
14363.255665	3.133	5890.687500	20000	500
14607.014218	3.728	7124.281250	20000	550
15625.772848	4.147	8475.062500	20000	600
16462.244029	4.620	9943.031250	20000	650
16793.617669	5.252	11528.187500	20000	700
16292.991471	6.214	13230.531250	20000	750
17394.817797	6.623	15050.062500	20000	800
