176.689755	1.687	61.781250	17029	50
652.109921	2.147	240.687500	20000	100
1391.992930	2.263	536.781250	20000	150
2399.348757	2.334	950.062500	20000	200
33915.038760	0.258	1480.531250	20000	250
41176.732026	0.306	2128.187500	20000	300
49423.861671	0.347	2893.031250	20000	350
57732.164948	0.388	3775.062500	20000	400
69485.490196	0.408	4774.281250	20000	450
70564.677419	0.496	5890.687500	20000	500
95383.063063	0.444	7124.281250	20000	550
96737.197697	0.521	8475.062500	20000	600
102159.032815	0.579	9943.031250	20000	650
102848.695652	0.667	11528.187500	20000	700
108471.184573	0.726	13230.531250	20000	750
114140.229299	0.785	15050.062500	20000	800
85007.556222	1.334	19040.687500	20000	900
72651.831863	1.927	23500.062500	20000	1000
69568.821355	2.435	28428.187500	20000	1100
68735.110808	2.933	33825.062500	20000	1200
57623.010229	4.106	39690.687500	20000	1300
34261.465851	8.009	46025.062500	20000	1400
41584.168977	7.575	52828.187500	20000	1500
39135.191090	9.158	60100.062500	20000	1600
36959.904997	10.947	67840.687500	20000	1700
34889.630028	13.001	76050.062500	20000	1800
33342.134846	15.158	84728.187500	20000	1900
32744.712899	17.102	93875.062500	20000	2000
31357.614912	19.689	103490.687500	20000	2100
30909.592190	21.922	113575.062500	20000	2200
30716.273900	24.111	124128.187500	20000	2300
30043.593011	26.841	135150.062500	20000	2400
