1463.791505	0.262	61.781250	17029	50
5193.537219	0.347	240.687500	20000	100
13073.208522	0.310	536.781250	20000	150
19549.497692	0.368	950.062500	20000	200
28266.532663	0.398	1480.531250	20000	250
38388.815166	0.422	2128.187500	20000	300
42650.058027	0.517	2893.031250	20000	350
46153.974359	0.624	3775.062500	20000	400
56511.751938	0.645	4774.281250	20000	450
60402.791946	0.745	5890.687500	20000	500
94204.290657	0.578	7124.281250	20000	550
100465.240310	0.645	8475.062500	20000	600
108025.681818	0.704	9943.031250	20000	650
110250.100000	0.800	11528.187500	20000	700
107598.384697	0.941	13230.531250	20000	750
108169.089202	1.065	15050.062500	20000	800
94246.981254	1.547	19040.687500	20000	900
86455.369837	2.082	23500.062500	20000	1000
84747.112840	2.570	28428.187500	20000	1100
79926.019118	3.243	33825.062500	20000	1200
72119.506875	4.218	39690.687500	20000	1300
43230.006127	8.161	46025.062500	20000	1400
53749.181155	7.535	52828.187500	20000	1500
49183.485964	9.369	60100.062500	20000	1600
46330.609191	11.228	67840.687500	20000	1700
44968.777855	12.969	76050.062500	20000	1800
42908.087691	15.144	84728.187500	20000	1900
41436.468692	17.376	93875.062500	20000	2000
40911.203422	19.403	103490.687500	20000	2100
40477.632300	21.523	113575.062500	20000	2200
39298.393727	24.230	124128.187500	20000	2300
38659.162534	26.819	135150.062500	20000	2400
